"","V1","V2","V3","V4","V5","V6","V7","V8"
"1",3.373,2.952,3.326,3.152,0.062,0.06,0.062,0.061
"2",2.505,2.229,2.559,2.361,0.06,0.057,0.059,0.059
"3",4.46,4.083,4.475,4.291,0.065,0.067,0.065,0.067
"4",3.075,2.958,3.026,3.068,0.067,0.067,0.066,0.068
"5",4.62,4.393,4.678,4.573,0.054,0.057,0.055,0.056
"6",4.428,4.304,4.549,4.507,0.063,0.066,0.063,0.065
"7",4.832,4.622,4.882,4.869,0.058,0.062,0.058,0.06
"8",4.408,4.166,4.413,4.33,0.066,0.068,0.068,0.069
"9",4.488,4.268,4.595,4.455,0.058,0.061,0.059,0.062
"10",3.807,3.67,4.013,3.801,0.062,0.065,0.063,0.066
